recommendation_id,device_id,case_id,evidence_type,weight_percentage,description
REC-0819,DEV-0073,CASE-0819,Patch Violation,47.1,Patch Violation detected on DEV-0073-CORP with elevated correlation to quarantine device.
REC-0958,DEV-0113,CASE-0958,Data Exfiltration Pattern,6.6,Data Exfiltration Pattern detected on DEV-0113-CORP with elevated correlation to force password reset.
REC-0958,DEV-0113,CASE-0958,Failed Logins,45.4,Failed Logins detected on DEV-0113-CORP with elevated correlation to force password reset.
REC-0958,DEV-0113,CASE-0958,Malware Signature,48.0,Malware Signature detected on DEV-0113-CORP with elevated correlation to force password reset.
REC-0250,DEV-0015,CASE-0250,Anomalous Process,76.7,Anomalous Process detected on DEV-0015-CORP with elevated correlation to revoke admin credentials.
REC-0250,DEV-0015,CASE-0250,Failed Logins,4.0,Failed Logins detected on DEV-0015-CORP with elevated correlation to revoke admin credentials.
REC-0250,DEV-0015,CASE-0250,Data Exfiltration Pattern,19.3,Data Exfiltration Pattern detected on DEV-0015-CORP with elevated correlation to revoke admin credentials.
REC-0019,DEV-0225,CASE-0019,Malware Signature,41.8,Malware Signature detected on DEV-0225-CORP with elevated correlation to force password reset.
REC-0019,DEV-0225,CASE-0019,Network Activity,41.7,Network Activity detected on DEV-0225-CORP with elevated correlation to force password reset.
REC-0019,DEV-0225,CASE-0019,Failed Logins,16.5,Failed Logins detected on DEV-0225-CORP with elevated correlation to force password reset.
REC-0768,DEV-0184,CASE-0768,Patch Violation,37.8,Patch Violation detected on DEV-0184-CORP with elevated correlation to isolate endpoint.
REC-0768,DEV-0184,CASE-0768,Data Exfiltration Pattern,13.0,Data Exfiltration Pattern detected on DEV-0184-CORP with elevated correlation to isolate endpoint.
REC-0768,DEV-0184,CASE-0768,Privilege Escalation,10.4,Privilege Escalation detected on DEV-0184-CORP with elevated correlation to isolate endpoint.
REC-0768,DEV-0184,CASE-0768,Suspicious DNS Query,38.8,Suspicious DNS Query detected on DEV-0184-CORP with elevated correlation to isolate endpoint.
REC-0211,DEV-0068,CASE-0211,Patch Violation,40.9,Patch Violation detected on DEV-0068-CORP with elevated correlation to isolate endpoint.
REC-0211,DEV-0068,CASE-0211,Suspicious DNS Query,55.0,Suspicious DNS Query detected on DEV-0068-CORP with elevated correlation to isolate endpoint.
REC-0211,DEV-0068,CASE-0211,Data Exfiltration Pattern,2.0,Data Exfiltration Pattern detected on DEV-0068-CORP with elevated correlation to isolate endpoint.
REC-0211,DEV-0068,CASE-0211,Anomalous Process,2.1,Anomalous Process detected on DEV-0068-CORP with elevated correlation to isolate endpoint.
REC-0610,DEV-0012,CASE-0610,Anomalous Process,38.5,Anomalous Process detected on DEV-0012-CORP with elevated correlation to escalate to human review.
REC-0610,DEV-0012,CASE-0610,Privilege Escalation,6.9,Privilege Escalation detected on DEV-0012-CORP with elevated correlation to escalate to human review.
REC-0610,DEV-0012,CASE-0610,Network Activity,53.2,Network Activity detected on DEV-0012-CORP with elevated correlation to escalate to human review.
REC-0610,DEV-0012,CASE-0610,Suspicious DNS Query,1.4,Suspicious DNS Query detected on DEV-0012-CORP with elevated correlation to escalate to human review.
REC-0865,DEV-0154,CASE-0865,Data Exfiltration Pattern,10.3,Data Exfiltration Pattern detected on DEV-0154-CORP with elevated correlation to isolate endpoint.
REC-0865,DEV-0154,CASE-0865,Suspicious DNS Query,53.7,Suspicious DNS Query detected on DEV-0154-CORP with elevated correlation to isolate endpoint.
REC-0865,DEV-0154,CASE-0865,Network Activity,8.7,Network Activity detected on DEV-0154-CORP with elevated correlation to isolate endpoint.
REC-0865,DEV-0154,CASE-0865,Anomalous Process,16.5,Anomalous Process detected on DEV-0154-CORP with elevated correlation to isolate endpoint.
REC-0865,DEV-0154,CASE-0865,Failed Logins,10.7,Failed Logins detected on DEV-0154-CORP with elevated correlation to isolate endpoint.
REC-0964,DEV-0034,CASE-0964,Anomalous Process,29.0,Anomalous Process detected on DEV-0034-CORP with elevated correlation to force password reset.
REC-0964,DEV-0034,CASE-0964,Privilege Escalation,37.5,Privilege Escalation detected on DEV-0034-CORP with elevated correlation to force password reset.
REC-0964,DEV-0034,CASE-0964,Data Exfiltration Pattern,14.5,Data Exfiltration Pattern detected on DEV-0034-CORP with elevated correlation to force password reset.
REC-0964,DEV-0034,CASE-0964,Suspicious DNS Query,18.9,Suspicious DNS Query detected on DEV-0034-CORP with elevated correlation to force password reset.
REC-0217,DEV-0221,CASE-0217,Network Activity,4.3,Network Activity detected on DEV-0221-CORP with elevated correlation to isolate endpoint.
REC-0217,DEV-0221,CASE-0217,Patch Violation,17.2,Patch Violation detected on DEV-0221-CORP with elevated correlation to isolate endpoint.
REC-0217,DEV-0221,CASE-0217,Anomalous Process,17.1,Anomalous Process detected on DEV-0221-CORP with elevated correlation to isolate endpoint.
REC-0217,DEV-0221,CASE-0217,Data Exfiltration Pattern,61.3,Data Exfiltration Pattern detected on DEV-0221-CORP with elevated correlation to isolate endpoint.
REC-0244,DEV-0057,CASE-0244,Patch Violation,17.4,Patch Violation detected on DEV-0057-CORP with elevated correlation to quarantine device.
REC-0244,DEV-0057,CASE-0244,Anomalous Process,5.4,Anomalous Process detected on DEV-0057-CORP with elevated correlation to quarantine device.
REC-0244,DEV-0057,CASE-0244,Suspicious DNS Query,4.7,Suspicious DNS Query detected on DEV-0057-CORP with elevated correlation to quarantine device.
REC-0244,DEV-0057,CASE-0244,Malware Signature,13.1,Malware Signature detected on DEV-0057-CORP with elevated correlation to quarantine device.
REC-0244,DEV-0057,CASE-0244,Failed Logins,59.4,Failed Logins detected on DEV-0057-CORP with elevated correlation to quarantine device.
REC-0358,DEV-0226,CASE-0358,Privilege Escalation,21.6,Privilege Escalation detected on DEV-0226-CORP with elevated correlation to monitor device activity.
REC-0358,DEV-0226,CASE-0358,Anomalous Process,43.4,Anomalous Process detected on DEV-0226-CORP with elevated correlation to monitor device activity.
REC-0358,DEV-0226,CASE-0358,Patch Violation,30.7,Patch Violation detected on DEV-0226-CORP with elevated correlation to monitor device activity.
REC-0358,DEV-0226,CASE-0358,Failed Logins,4.2,Failed Logins detected on DEV-0226-CORP with elevated correlation to monitor device activity.
REC-0278,DEV-0137,CASE-0278,Network Activity,7.7,Network Activity detected on DEV-0137-CORP with elevated correlation to force password reset.
REC-0278,DEV-0137,CASE-0278,Privilege Escalation,9.1,Privilege Escalation detected on DEV-0137-CORP with elevated correlation to force password reset.
REC-0278,DEV-0137,CASE-0278,Failed Logins,76.6,Failed Logins detected on DEV-0137-CORP with elevated correlation to force password reset.
REC-0278,DEV-0137,CASE-0278,Data Exfiltration Pattern,6.6,Data Exfiltration Pattern detected on DEV-0137-CORP with elevated correlation to force password reset.
REC-0184,DEV-0233,CASE-0184,Malware Signature,73.1,Malware Signature detected on DEV-0233-CORP with elevated correlation to revoke admin credentials.
REC-0184,DEV-0233,CASE-0184,Suspicious DNS Query,0.5,Suspicious DNS Query detected on DEV-0233-CORP with elevated correlation to revoke admin credentials.
REC-0184,DEV-0233,CASE-0184,Privilege Escalation,8.0,Privilege Escalation detected on DEV-0233-CORP with elevated correlation to revoke admin credentials.
REC-0184,DEV-0233,CASE-0184,Data Exfiltration Pattern,18.5,Data Exfiltration Pattern detected on DEV-0233-CORP with elevated correlation to revoke admin credentials.
REC-0963,DEV-0163,CASE-0963,Data Exfiltration Pattern,56.9,Data Exfiltration Pattern detected on DEV-0163-CORP with elevated correlation to escalate to human review.
REC-0963,DEV-0163,CASE-0963,Anomalous Process,23.7,Anomalous Process detected on DEV-0163-CORP with elevated correlation to escalate to human review.
REC-0963,DEV-0163,CASE-0963,Suspicious DNS Query,19.4,Suspicious DNS Query detected on DEV-0163-CORP with elevated correlation to escalate to human review.
REC-0557,DEV-0061,CASE-0557,Data Exfiltration Pattern,48.2,Data Exfiltration Pattern detected on DEV-0061-CORP with elevated correlation to revoke admin credentials.
REC-0557,DEV-0061,CASE-0557,Failed Logins,46.4,Failed Logins detected on DEV-0061-CORP with elevated correlation to revoke admin credentials.
REC-0557,DEV-0061,CASE-0557,Privilege Escalation,5.4,Privilege Escalation detected on DEV-0061-CORP with elevated correlation to revoke admin credentials.
REC-0668,DEV-0232,CASE-0668,Failed Logins,10.5,Failed Logins detected on DEV-0232-CORP with elevated correlation to escalate to human review.
REC-0668,DEV-0232,CASE-0668,Patch Violation,28.2,Patch Violation detected on DEV-0232-CORP with elevated correlation to escalate to human review.
REC-0668,DEV-0232,CASE-0668,Privilege Escalation,29.5,Privilege Escalation detected on DEV-0232-CORP with elevated correlation to escalate to human review.
REC-0668,DEV-0232,CASE-0668,Network Activity,24.1,Network Activity detected on DEV-0232-CORP with elevated correlation to escalate to human review.
REC-0668,DEV-0232,CASE-0668,Malware Signature,7.7,Malware Signature detected on DEV-0232-CORP with elevated correlation to escalate to human review.
REC-0138,DEV-0160,CASE-0138,Suspicious DNS Query,19.1,Suspicious DNS Query detected on DEV-0160-CORP with elevated correlation to force password reset.
REC-0138,DEV-0160,CASE-0138,Failed Logins,10.0,Failed Logins detected on DEV-0160-CORP with elevated correlation to force password reset.
REC-0138,DEV-0160,CASE-0138,Data Exfiltration Pattern,0.9,Data Exfiltration Pattern detected on DEV-0160-CORP with elevated correlation to force password reset.
REC-0138,DEV-0160,CASE-0138,Anomalous Process,18.7,Anomalous Process detected on DEV-0160-CORP with elevated correlation to force password reset.
REC-0138,DEV-0160,CASE-0138,Privilege Escalation,51.2,Privilege Escalation detected on DEV-0160-CORP with elevated correlation to force password reset.
REC-0859,DEV-0113,CASE-0859,Patch Violation,21.9,Patch Violation detected on DEV-0113-CORP with elevated correlation to revoke admin credentials.
REC-0859,DEV-0113,CASE-0859,Malware Signature,16.8,Malware Signature detected on DEV-0113-CORP with elevated correlation to revoke admin credentials.
REC-0859,DEV-0113,CASE-0859,Privilege Escalation,12.0,Privilege Escalation detected on DEV-0113-CORP with elevated correlation to revoke admin credentials.
REC-0859,DEV-0113,CASE-0859,Suspicious DNS Query,47.5,Suspicious DNS Query detected on DEV-0113-CORP with elevated correlation to revoke admin credentials.
REC-0859,DEV-0113,CASE-0859,Failed Logins,1.7,Failed Logins detected on DEV-0113-CORP with elevated correlation to revoke admin credentials.
REC-0441,DEV-0068,CASE-0441,Network Activity,15.9,Network Activity detected on DEV-0068-CORP with elevated correlation to escalate to human review.
REC-0441,DEV-0068,CASE-0441,Privilege Escalation,8.4,Privilege Escalation detected on DEV-0068-CORP with elevated correlation to escalate to human review.
REC-0441,DEV-0068,CASE-0441,Failed Logins,55.6,Failed Logins detected on DEV-0068-CORP with elevated correlation to escalate to human review.
REC-0441,DEV-0068,CASE-0441,Malware Signature,5.0,Malware Signature detected on DEV-0068-CORP with elevated correlation to escalate to human review.
REC-0441,DEV-0068,CASE-0441,Patch Violation,15.2,Patch Violation detected on DEV-0068-CORP with elevated correlation to escalate to human review.
REC-0369,DEV-0097,CASE-0369,Failed Logins,36.8,Failed Logins detected on DEV-0097-CORP with elevated correlation to escalate to human review.
REC-0369,DEV-0097,CASE-0369,Suspicious DNS Query,17.6,Suspicious DNS Query detected on DEV-0097-CORP with elevated correlation to escalate to human review.
REC-0369,DEV-0097,CASE-0369,Patch Violation,12.1,Patch Violation detected on DEV-0097-CORP with elevated correlation to escalate to human review.
REC-0369,DEV-0097,CASE-0369,Data Exfiltration Pattern,0.7,Data Exfiltration Pattern detected on DEV-0097-CORP with elevated correlation to escalate to human review.
REC-0369,DEV-0097,CASE-0369,Anomalous Process,32.8,Anomalous Process detected on DEV-0097-CORP with elevated correlation to escalate to human review.
REC-0104,DEV-0066,CASE-0104,Suspicious DNS Query,30.6,Suspicious DNS Query detected on DEV-0066-CORP with elevated correlation to restrict network access.
REC-0104,DEV-0066,CASE-0104,Failed Logins,10.3,Failed Logins detected on DEV-0066-CORP with elevated correlation to restrict network access.
REC-0104,DEV-0066,CASE-0104,Malware Signature,59.1,Malware Signature detected on DEV-0066-CORP with elevated correlation to restrict network access.
REC-0980,DEV-0207,CASE-0980,Network Activity,15.3,Network Activity detected on DEV-0207-CORP with elevated correlation to force password reset.
REC-0980,DEV-0207,CASE-0980,Anomalous Process,9.3,Anomalous Process detected on DEV-0207-CORP with elevated correlation to force password reset.
REC-0980,DEV-0207,CASE-0980,Data Exfiltration Pattern,17.8,Data Exfiltration Pattern detected on DEV-0207-CORP with elevated correlation to force password reset.
REC-0980,DEV-0207,CASE-0980,Patch Violation,56.5,Patch Violation detected on DEV-0207-CORP with elevated correlation to force password reset.
REC-0980,DEV-0207,CASE-0980,Privilege Escalation,1.2,Privilege Escalation detected on DEV-0207-CORP with elevated correlation to force password reset.
REC-0929,DEV-0089,CASE-0929,Network Activity,36.5,Network Activity detected on DEV-0089-CORP with elevated correlation to force password reset.
REC-0929,DEV-0089,CASE-0929,Malware Signature,32.7,Malware Signature detected on DEV-0089-CORP with elevated correlation to force password reset.
REC-0929,DEV-0089,CASE-0929,Failed Logins,18.0,Failed Logins detected on DEV-0089-CORP with elevated correlation to force password reset.
REC-0929,DEV-0089,CASE-0929,Patch Violation,12.8,Patch Violation detected on DEV-0089-CORP with elevated correlation to force password reset.
REC-0158,DEV-0060,CASE-0158,Network Activity,52.0,Network Activity detected on DEV-0060-CORP with elevated correlation to escalate to human review.
REC-0158,DEV-0060,CASE-0158,Suspicious DNS Query,17.0,Suspicious DNS Query detected on DEV-0060-CORP with elevated correlation to escalate to human review.
REC-0158,DEV-0060,CASE-0158,Malware Signature,9.7,Malware Signature detected on DEV-0060-CORP with elevated correlation to escalate to human review.
REC-0158,DEV-0060,CASE-0158,Privilege Escalation,21.4,Privilege Escalation detected on DEV-0060-CORP with elevated correlation to escalate to human review.
REC-0918,DEV-0046,CASE-0918,Network Activity,20.4,Network Activity detected on DEV-0046-CORP with elevated correlation to deploy security patch.
REC-0918,DEV-0046,CASE-0918,Anomalous Process,4.9,Anomalous Process detected on DEV-0046-CORP with elevated correlation to deploy security patch.
REC-0918,DEV-0046,CASE-0918,Privilege Escalation,39.8,Privilege Escalation detected on DEV-0046-CORP with elevated correlation to deploy security patch.
REC-0918,DEV-0046,CASE-0918,Patch Violation,34.9,Patch Violation detected on DEV-0046-CORP with elevated correlation to deploy security patch.
REC-0986,DEV-0249,CASE-0986,Failed Logins,22.5,Failed Logins detected on DEV-0249-CORP with elevated correlation to revoke admin credentials.
REC-0986,DEV-0249,CASE-0986,Privilege Escalation,16.3,Privilege Escalation detected on DEV-0249-CORP with elevated correlation to revoke admin credentials.
REC-0986,DEV-0249,CASE-0986,Patch Violation,61.2,Patch Violation detected on DEV-0249-CORP with elevated correlation to revoke admin credentials.
REC-0946,DEV-0178,CASE-0946,Privilege Escalation,21.3,Privilege Escalation detected on DEV-0178-CORP with elevated correlation to restrict network access.
REC-0946,DEV-0178,CASE-0946,Malware Signature,6.1,Malware Signature detected on DEV-0178-CORP with elevated correlation to restrict network access.
REC-0946,DEV-0178,CASE-0946,Failed Logins,60.9,Failed Logins detected on DEV-0178-CORP with elevated correlation to restrict network access.
REC-0946,DEV-0178,CASE-0946,Anomalous Process,11.7,Anomalous Process detected on DEV-0178-CORP with elevated correlation to restrict network access.
REC-0932,DEV-0149,CASE-0932,Patch Violation,12.2,Patch Violation detected on DEV-0149-CORP with elevated correlation to isolate endpoint.
REC-0932,DEV-0149,CASE-0932,Failed Logins,4.8,Failed Logins detected on DEV-0149-CORP with elevated correlation to isolate endpoint.
REC-0932,DEV-0149,CASE-0932,Data Exfiltration Pattern,37.5,Data Exfiltration Pattern detected on DEV-0149-CORP with elevated correlation to isolate endpoint.
REC-0932,DEV-0149,CASE-0932,Privilege Escalation,1.8,Privilege Escalation detected on DEV-0149-CORP with elevated correlation to isolate endpoint.
REC-0932,DEV-0149,CASE-0932,Malware Signature,43.7,Malware Signature detected on DEV-0149-CORP with elevated correlation to isolate endpoint.
REC-0793,DEV-0157,CASE-0793,Suspicious DNS Query,34.9,Suspicious DNS Query detected on DEV-0157-CORP with elevated correlation to isolate endpoint.
REC-0793,DEV-0157,CASE-0793,Patch Violation,11.5,Patch Violation detected on DEV-0157-CORP with elevated correlation to isolate endpoint.
REC-0793,DEV-0157,CASE-0793,Privilege Escalation,37.9,Privilege Escalation detected on DEV-0157-CORP with elevated correlation to isolate endpoint.
REC-0793,DEV-0157,CASE-0793,Anomalous Process,15.6,Anomalous Process detected on DEV-0157-CORP with elevated correlation to isolate endpoint.
REC-0867,DEV-0033,CASE-0867,Suspicious DNS Query,47.8,Suspicious DNS Query detected on DEV-0033-CORP with elevated correlation to revoke admin credentials.
REC-0867,DEV-0033,CASE-0867,Failed Logins,15.8,Failed Logins detected on DEV-0033-CORP with elevated correlation to revoke admin credentials.
REC-0867,DEV-0033,CASE-0867,Patch Violation,32.8,Patch Violation detected on DEV-0033-CORP with elevated correlation to revoke admin credentials.
REC-0867,DEV-0033,CASE-0867,Malware Signature,3.6,Malware Signature detected on DEV-0033-CORP with elevated correlation to revoke admin credentials.
REC-0805,DEV-0063,CASE-0805,Patch Violation,4.2,Patch Violation detected on DEV-0063-CORP with elevated correlation to quarantine device.
REC-0805,DEV-0063,CASE-0805,Failed Logins,35.1,Failed Logins detected on DEV-0063-CORP with elevated correlation to quarantine device.
REC-0805,DEV-0063,CASE-0805,Suspicious DNS Query,5.9,Suspicious DNS Query detected on DEV-0063-CORP with elevated correlation to quarantine device.
REC-0805,DEV-0063,CASE-0805,Malware Signature,25.5,Malware Signature detected on DEV-0063-CORP with elevated correlation to quarantine device.
REC-0805,DEV-0063,CASE-0805,Data Exfiltration Pattern,29.3,Data Exfiltration Pattern detected on DEV-0063-CORP with elevated correlation to quarantine device.
REC-0046,DEV-0121,CASE-0046,Malware Signature,4.8,Malware Signature detected on DEV-0121-CORP with elevated correlation to monitor device activity.
REC-0046,DEV-0121,CASE-0046,Network Activity,13.5,Network Activity detected on DEV-0121-CORP with elevated correlation to monitor device activity.
REC-0046,DEV-0121,CASE-0046,Patch Violation,12.8,Patch Violation detected on DEV-0121-CORP with elevated correlation to monitor device activity.
REC-0046,DEV-0121,CASE-0046,Privilege Escalation,69.0,Privilege Escalation detected on DEV-0121-CORP with elevated correlation to monitor device activity.
REC-0032,DEV-0109,CASE-0032,Network Activity,27.6,Network Activity detected on DEV-0109-CORP with elevated correlation to deploy security patch.
REC-0032,DEV-0109,CASE-0032,Malware Signature,42.9,Malware Signature detected on DEV-0109-CORP with elevated correlation to deploy security patch.
REC-0032,DEV-0109,CASE-0032,Patch Violation,3.5,Patch Violation detected on DEV-0109-CORP with elevated correlation to deploy security patch.
REC-0032,DEV-0109,CASE-0032,Failed Logins,26.0,Failed Logins detected on DEV-0109-CORP with elevated correlation to deploy security patch.
REC-0485,DEV-0156,CASE-0485,Privilege Escalation,42.6,Privilege Escalation detected on DEV-0156-CORP with elevated correlation to revoke admin credentials.
REC-0485,DEV-0156,CASE-0485,Anomalous Process,26.0,Anomalous Process detected on DEV-0156-CORP with elevated correlation to revoke admin credentials.
REC-0485,DEV-0156,CASE-0485,Suspicious DNS Query,31.3,Suspicious DNS Query detected on DEV-0156-CORP with elevated correlation to revoke admin credentials.
REC-0083,DEV-0047,CASE-0083,Failed Logins,12.7,Failed Logins detected on DEV-0047-CORP with elevated correlation to force password reset.
REC-0083,DEV-0047,CASE-0083,Malware Signature,30.8,Malware Signature detected on DEV-0047-CORP with elevated correlation to force password reset.
REC-0083,DEV-0047,CASE-0083,Privilege Escalation,5.2,Privilege Escalation detected on DEV-0047-CORP with elevated correlation to force password reset.
REC-0083,DEV-0047,CASE-0083,Patch Violation,41.8,Patch Violation detected on DEV-0047-CORP with elevated correlation to force password reset.
REC-0083,DEV-0047,CASE-0083,Network Activity,9.6,Network Activity detected on DEV-0047-CORP with elevated correlation to force password reset.
REC-0609,DEV-0162,CASE-0609,Data Exfiltration Pattern,21.8,Data Exfiltration Pattern detected on DEV-0162-CORP with elevated correlation to quarantine device.
REC-0609,DEV-0162,CASE-0609,Privilege Escalation,54.0,Privilege Escalation detected on DEV-0162-CORP with elevated correlation to quarantine device.
REC-0609,DEV-0162,CASE-0609,Anomalous Process,24.2,Anomalous Process detected on DEV-0162-CORP with elevated correlation to quarantine device.
REC-0664,DEV-0069,CASE-0664,Privilege Escalation,17.0,Privilege Escalation detected on DEV-0069-CORP with elevated correlation to restrict network access.
REC-0664,DEV-0069,CASE-0664,Patch Violation,33.6,Patch Violation detected on DEV-0069-CORP with elevated correlation to restrict network access.
REC-0664,DEV-0069,CASE-0664,Network Activity,49.3,Network Activity detected on DEV-0069-CORP with elevated correlation to restrict network access.
REC-0806,DEV-0216,CASE-0806,Anomalous Process,11.8,Anomalous Process detected on DEV-0216-CORP with elevated correlation to monitor device activity.
REC-0806,DEV-0216,CASE-0806,Failed Logins,10.0,Failed Logins detected on DEV-0216-CORP with elevated correlation to monitor device activity.
REC-0806,DEV-0216,CASE-0806,Suspicious DNS Query,32.4,Suspicious DNS Query detected on DEV-0216-CORP with elevated correlation to monitor device activity.
REC-0806,DEV-0216,CASE-0806,Network Activity,45.9,Network Activity detected on DEV-0216-CORP with elevated correlation to monitor device activity.
REC-0409,DEV-0065,CASE-0409,Failed Logins,38.3,Failed Logins detected on DEV-0065-CORP with elevated correlation to restrict network access.
REC-0409,DEV-0065,CASE-0409,Malware Signature,53.6,Malware Signature detected on DEV-0065-CORP with elevated correlation to restrict network access.
REC-0409,DEV-0065,CASE-0409,Patch Violation,8.1,Patch Violation detected on DEV-0065-CORP with elevated correlation to restrict network access.
REC-0740,DEV-0242,CASE-0740,Suspicious DNS Query,7.8,Suspicious DNS Query detected on DEV-0242-CORP with elevated correlation to quarantine device.
REC-0740,DEV-0242,CASE-0740,Malware Signature,19.7,Malware Signature detected on DEV-0242-CORP with elevated correlation to quarantine device.
REC-0740,DEV-0242,CASE-0740,Data Exfiltration Pattern,8.3,Data Exfiltration Pattern detected on DEV-0242-CORP with elevated correlation to quarantine device.
REC-0740,DEV-0242,CASE-0740,Network Activity,25.8,Network Activity detected on DEV-0242-CORP with elevated correlation to quarantine device.
REC-0740,DEV-0242,CASE-0740,Failed Logins,38.5,Failed Logins detected on DEV-0242-CORP with elevated correlation to quarantine device.
REC-0116,DEV-0189,CASE-0116,Failed Logins,4.0,Failed Logins detected on DEV-0189-CORP with elevated correlation to isolate endpoint.
REC-0116,DEV-0189,CASE-0116,Malware Signature,13.5,Malware Signature detected on DEV-0189-CORP with elevated correlation to isolate endpoint.
REC-0116,DEV-0189,CASE-0116,Anomalous Process,82.5,Anomalous Process detected on DEV-0189-CORP with elevated correlation to isolate endpoint.
REC-0266,DEV-0179,CASE-0266,Network Activity,55.4,Network Activity detected on DEV-0179-CORP with elevated correlation to escalate to human review.
REC-0266,DEV-0179,CASE-0266,Suspicious DNS Query,22.5,Suspicious DNS Query detected on DEV-0179-CORP with elevated correlation to escalate to human review.
REC-0266,DEV-0179,CASE-0266,Privilege Escalation,22.2,Privilege Escalation detected on DEV-0179-CORP with elevated correlation to escalate to human review.
REC-0585,DEV-0054,CASE-0585,Data Exfiltration Pattern,36.1,Data Exfiltration Pattern detected on DEV-0054-CORP with elevated correlation to monitor device activity.
REC-0585,DEV-0054,CASE-0585,Suspicious DNS Query,35.7,Suspicious DNS Query detected on DEV-0054-CORP with elevated correlation to monitor device activity.
REC-0585,DEV-0054,CASE-0585,Patch Violation,10.0,Patch Violation detected on DEV-0054-CORP with elevated correlation to monitor device activity.
REC-0585,DEV-0054,CASE-0585,Network Activity,18.2,Network Activity detected on DEV-0054-CORP with elevated correlation to monitor device activity.
REC-0465,DEV-0053,CASE-0465,Network Activity,16.5,Network Activity detected on DEV-0053-CORP with elevated correlation to isolate endpoint.
REC-0465,DEV-0053,CASE-0465,Failed Logins,21.5,Failed Logins detected on DEV-0053-CORP with elevated correlation to isolate endpoint.
REC-0465,DEV-0053,CASE-0465,Data Exfiltration Pattern,42.4,Data Exfiltration Pattern detected on DEV-0053-CORP with elevated correlation to isolate endpoint.
REC-0465,DEV-0053,CASE-0465,Anomalous Process,2.5,Anomalous Process detected on DEV-0053-CORP with elevated correlation to isolate endpoint.
REC-0465,DEV-0053,CASE-0465,Suspicious DNS Query,17.2,Suspicious DNS Query detected on DEV-0053-CORP with elevated correlation to isolate endpoint.
REC-0203,DEV-0002,CASE-0203,Suspicious DNS Query,20.0,Suspicious DNS Query detected on DEV-0002-CORP with elevated correlation to monitor device activity.
REC-0203,DEV-0002,CASE-0203,Malware Signature,23.9,Malware Signature detected on DEV-0002-CORP with elevated correlation to monitor device activity.
REC-0203,DEV-0002,CASE-0203,Privilege Escalation,10.1,Privilege Escalation detected on DEV-0002-CORP with elevated correlation to monitor device activity.
REC-0203,DEV-0002,CASE-0203,Anomalous Process,42.3,Anomalous Process detected on DEV-0002-CORP with elevated correlation to monitor device activity.
REC-0203,DEV-0002,CASE-0203,Failed Logins,3.7,Failed Logins detected on DEV-0002-CORP with elevated correlation to monitor device activity.
REC-0864,DEV-0018,CASE-0864,Privilege Escalation,8.1,Privilege Escalation detected on DEV-0018-CORP with elevated correlation to restrict network access.
REC-0864,DEV-0018,CASE-0864,Network Activity,10.1,Network Activity detected on DEV-0018-CORP with elevated correlation to restrict network access.
REC-0864,DEV-0018,CASE-0864,Suspicious DNS Query,22.8,Suspicious DNS Query detected on DEV-0018-CORP with elevated correlation to restrict network access.
REC-0864,DEV-0018,CASE-0864,Malware Signature,2.9,Malware Signature detected on DEV-0018-CORP with elevated correlation to restrict network access.
REC-0864,DEV-0018,CASE-0864,Data Exfiltration Pattern,56.1,Data Exfiltration Pattern detected on DEV-0018-CORP with elevated correlation to restrict network access.
REC-0328,DEV-0095,CASE-0328,Suspicious DNS Query,53.5,Suspicious DNS Query detected on DEV-0095-CORP with elevated correlation to escalate to human review.
REC-0328,DEV-0095,CASE-0328,Anomalous Process,14.2,Anomalous Process detected on DEV-0095-CORP with elevated correlation to escalate to human review.
REC-0328,DEV-0095,CASE-0328,Privilege Escalation,32.4,Privilege Escalation detected on DEV-0095-CORP with elevated correlation to escalate to human review.
REC-0395,DEV-0121,CASE-0395,Malware Signature,14.8,Malware Signature detected on DEV-0121-CORP with elevated correlation to force password reset.
REC-0395,DEV-0121,CASE-0395,Privilege Escalation,23.7,Privilege Escalation detected on DEV-0121-CORP with elevated correlation to force password reset.
REC-0395,DEV-0121,CASE-0395,Failed Logins,61.5,Failed Logins detected on DEV-0121-CORP with elevated correlation to force password reset.
REC-0818,DEV-0170,CASE-0818,Suspicious DNS Query,5.9,Suspicious DNS Query detected on DEV-0170-CORP with elevated correlation to escalate to human review.
REC-0818,DEV-0170,CASE-0818,Malware Signature,23.9,Malware Signature detected on DEV-0170-CORP with elevated correlation to escalate to human review.
REC-0818,DEV-0170,CASE-0818,Anomalous Process,24.5,Anomalous Process detected on DEV-0170-CORP with elevated correlation to escalate to human review.
REC-0818,DEV-0170,CASE-0818,Data Exfiltration Pattern,7.8,Data Exfiltration Pattern detected on DEV-0170-CORP with elevated correlation to escalate to human review.
REC-0818,DEV-0170,CASE-0818,Failed Logins,37.8,Failed Logins detected on DEV-0170-CORP with elevated correlation to escalate to human review.
REC-0180,DEV-0118,CASE-0180,Failed Logins,50.5,Failed Logins detected on DEV-0118-CORP with elevated correlation to isolate endpoint.
REC-0180,DEV-0118,CASE-0180,Suspicious DNS Query,29.4,Suspicious DNS Query detected on DEV-0118-CORP with elevated correlation to isolate endpoint.
REC-0180,DEV-0118,CASE-0180,Network Activity,20.1,Network Activity detected on DEV-0118-CORP with elevated correlation to isolate endpoint.
REC-0856,DEV-0020,CASE-0856,Suspicious DNS Query,14.9,Suspicious DNS Query detected on DEV-0020-CORP with elevated correlation to monitor device activity.
