incident_id,recommendation_id,device_id,case_id,incident_title,cause,safeguard_failure,corrective_action,created_at
INC-0175,REC-0450,DEV-0189,CASE-0060,Executive Lockout During Negotiations,Off-hours backup flagged as exfiltration,Executive context not applied,Executive policy rules integrated,2026-03-25
INC-0176,REC-0392,DEV-0044,CASE-0811,QA Environment Disrupted,Stress test traffic classified as attack,Staging scope boundary missing,Environment tagging enforced,2026-03-23
INC-0177,REC-0390,DEV-0212,CASE-0667,False Quarantine on Linux Dev Box,Package manager activity misread,Linux behavioral model gap,Linux training data expanded,2026-05-23
INC-0178,REC-0685,DEV-0023,CASE-0240,Delayed Patch on Critical Server,Low confidence led to dismissal,Impact preview not reviewed,Mandatory impact review for servers,2026-04-10
INC-0179,REC-0488,DEV-0209,CASE-0122,Credential Reset on Valid User,Travel login flagged as compromise,Geo-velocity threshold too aggressive,Travel-aware auth baselines added,2026-04-26
INC-0180,REC-0253,DEV-0141,CASE-0452,Wrong Device Quarantined,Software update mistaken for malware,Update verification missing,Update detection logic added,2026-04-05
INC-0181,REC-0852,DEV-0106,CASE-0832,Executive Lockout During Negotiations,Off-hours backup flagged as exfiltration,Executive context not applied,Executive policy rules integrated,2026-04-07
INC-0182,REC-0153,DEV-0125,CASE-0726,QA Environment Disrupted,Stress test traffic classified as attack,Staging scope boundary missing,Environment tagging enforced,2026-04-22
INC-0183,REC-0308,DEV-0048,CASE-0317,False Quarantine on Linux Dev Box,Package manager activity misread,Linux behavioral model gap,Linux training data expanded,2026-02-21
INC-0184,REC-0529,DEV-0040,CASE-0843,Delayed Patch on Critical Server,Low confidence led to dismissal,Impact preview not reviewed,Mandatory impact review for servers,2026-05-07
INC-0185,REC-0345,DEV-0069,CASE-0597,Credential Reset on Valid User,Travel login flagged as compromise,Geo-velocity threshold too aggressive,Travel-aware auth baselines added,2026-03-23
INC-0186,REC-0282,DEV-0208,CASE-0952,Wrong Device Quarantined,Software update mistaken for malware,Update verification missing,Update detection logic added,2026-03-03
INC-0187,REC-0552,DEV-0213,CASE-0096,Executive Lockout During Negotiations,Off-hours backup flagged as exfiltration,Executive context not applied,Executive policy rules integrated,2026-03-13
INC-0188,REC-0452,DEV-0230,CASE-0762,QA Environment Disrupted,Stress test traffic classified as attack,Staging scope boundary missing,Environment tagging enforced,2026-05-11
INC-0189,REC-0373,DEV-0136,CASE-0073,False Quarantine on Linux Dev Box,Package manager activity misread,Linux behavioral model gap,Linux training data expanded,2026-05-14
INC-0190,REC-0813,DEV-0017,CASE-0681,Delayed Patch on Critical Server,Low confidence led to dismissal,Impact preview not reviewed,Mandatory impact review for servers,2026-03-30
INC-0191,REC-0333,DEV-0137,CASE-0710,Credential Reset on Valid User,Travel login flagged as compromise,Geo-velocity threshold too aggressive,Travel-aware auth baselines added,2026-04-09
INC-0192,REC-0859,DEV-0106,CASE-0101,Wrong Device Quarantined,Software update mistaken for malware,Update verification missing,Update detection logic added,2026-04-14
INC-0193,REC-0359,DEV-0235,CASE-0792,Executive Lockout During Negotiations,Off-hours backup flagged as exfiltration,Executive context not applied,Executive policy rules integrated,2026-03-04
INC-0194,REC-0329,DEV-0121,CASE-0618,QA Environment Disrupted,Stress test traffic classified as attack,Staging scope boundary missing,Environment tagging enforced,2026-03-15
INC-0195,REC-0395,DEV-0035,CASE-0157,False Quarantine on Linux Dev Box,Package manager activity misread,Linux behavioral model gap,Linux training data expanded,2026-04-12
INC-0196,REC-0904,DEV-0017,CASE-0967,Delayed Patch on Critical Server,Low confidence led to dismissal,Impact preview not reviewed,Mandatory impact review for servers,2026-03-18
INC-0197,REC-0396,DEV-0240,CASE-0207,Credential Reset on Valid User,Travel login flagged as compromise,Geo-velocity threshold too aggressive,Travel-aware auth baselines added,2026-03-10
INC-0198,REC-0757,DEV-0093,CASE-0621,Wrong Device Quarantined,Software update mistaken for malware,Update verification missing,Update detection logic added,2026-05-04
INC-0199,REC-0306,DEV-0114,CASE-0536,Executive Lockout During Negotiations,Off-hours backup flagged as exfiltration,Executive context not applied,Executive policy rules integrated,2026-05-09
INC-0200,REC-0805,DEV-0206,CASE-0252,QA Environment Disrupted,Stress test traffic classified as attack,Staging scope boundary missing,Environment tagging enforced,2026-03-31
