limitation_id,recommendation_id,limitation,severity,impact
LIM-00288,REC-0253,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00289,REC-0253,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00290,REC-0254,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00291,REC-0254,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00292,REC-0255,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00293,REC-0257,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00294,REC-0257,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00295,REC-0258,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00296,REC-0259,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00297,REC-0260,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00298,REC-0260,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00299,REC-0261,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00300,REC-0262,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00301,REC-0263,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00302,REC-0263,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00303,REC-0264,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00304,REC-0266,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00305,REC-0266,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00306,REC-0268,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00307,REC-0269,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00308,REC-0269,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00309,REC-0270,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00310,REC-0270,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00311,REC-0271,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00312,REC-0272,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00313,REC-0272,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00314,REC-0273,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00315,REC-0274,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00316,REC-0274,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00317,REC-0275,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00318,REC-0276,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00319,REC-0281,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00320,REC-0283,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00321,REC-0284,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00322,REC-0285,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00323,REC-0286,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00324,REC-0286,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00325,REC-0287,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00326,REC-0288,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00327,REC-0289,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00328,REC-0291,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00329,REC-0291,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00330,REC-0292,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00331,REC-0293,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00332,REC-0293,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00333,REC-0295,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00334,REC-0296,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00335,REC-0296,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00336,REC-0297,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00337,REC-0298,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00338,REC-0302,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00339,REC-0302,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00340,REC-0303,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00341,REC-0304,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00342,REC-0305,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00343,REC-0305,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00344,REC-0306,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00345,REC-0307,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00346,REC-0307,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00347,REC-0308,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00348,REC-0308,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00349,REC-0309,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00350,REC-0310,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00351,REC-0311,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00352,REC-0311,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00353,REC-0312,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00354,REC-0313,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00355,REC-0313,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00356,REC-0314,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00357,REC-0314,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00358,REC-0317,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00359,REC-0320,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00360,REC-0320,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00361,REC-0321,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00362,REC-0321,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00363,REC-0323,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00364,REC-0324,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00365,REC-0325,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00366,REC-0325,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00367,REC-0326,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00368,REC-0326,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00369,REC-0327,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00370,REC-0329,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00371,REC-0330,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00372,REC-0331,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00373,REC-0331,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00374,REC-0332,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00375,REC-0332,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00376,REC-0334,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00377,REC-0335,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00378,REC-0337,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00379,REC-0338,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00380,REC-0338,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00381,REC-0340,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00382,REC-0341,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00383,REC-0341,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00384,REC-0342,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00385,REC-0343,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00386,REC-0344,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00387,REC-0345,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00388,REC-0347,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00389,REC-0351,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00390,REC-0353,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00391,REC-0353,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00392,REC-0354,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00393,REC-0355,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00394,REC-0356,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00395,REC-0357,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00396,REC-0357,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00397,REC-0360,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00398,REC-0361,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00399,REC-0362,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00400,REC-0362,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00401,REC-0364,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00402,REC-0364,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00403,REC-0365,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00404,REC-0366,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00405,REC-0366,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00406,REC-0367,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00407,REC-0367,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00408,REC-0369,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00409,REC-0369,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00410,REC-0371,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00411,REC-0373,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00412,REC-0373,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00413,REC-0374,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00414,REC-0375,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00415,REC-0375,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00416,REC-0376,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00417,REC-0377,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00418,REC-0378,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00419,REC-0379,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00420,REC-0379,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00421,REC-0380,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00422,REC-0380,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00423,REC-0381,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00424,REC-0381,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00425,REC-0382,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00426,REC-0382,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00427,REC-0383,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00428,REC-0384,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00429,REC-0385,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00430,REC-0386,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00431,REC-0387,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00432,REC-0388,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00433,REC-0388,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00434,REC-0389,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00435,REC-0389,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00436,REC-0390,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00437,REC-0391,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00438,REC-0392,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00439,REC-0392,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00440,REC-0393,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00441,REC-0394,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00442,REC-0394,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00443,REC-0396,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00444,REC-0397,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00445,REC-0399,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00446,REC-0400,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00447,REC-0400,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00448,REC-0402,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00449,REC-0404,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00450,REC-0405,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00451,REC-0408,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00452,REC-0409,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00453,REC-0409,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00454,REC-0410,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00455,REC-0410,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00456,REC-0411,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00457,REC-0413,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00458,REC-0413,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00459,REC-0415,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00460,REC-0417,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00461,REC-0417,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00462,REC-0418,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00463,REC-0419,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00464,REC-0421,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00465,REC-0422,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00466,REC-0424,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00467,REC-0424,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00468,REC-0425,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00469,REC-0425,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00470,REC-0427,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00471,REC-0428,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00472,REC-0428,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00473,REC-0429,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00474,REC-0430,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00475,REC-0431,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00476,REC-0432,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00477,REC-0433,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00478,REC-0433,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00479,REC-0434,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00480,REC-0435,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00481,REC-0435,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00482,REC-0436,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00483,REC-0437,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00484,REC-0437,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00485,REC-0440,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00486,REC-0442,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00487,REC-0442,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00488,REC-0443,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00489,REC-0444,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00490,REC-0445,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00491,REC-0445,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00492,REC-0447,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00493,REC-0448,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00494,REC-0448,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00495,REC-0449,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00496,REC-0450,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00497,REC-0451,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00498,REC-0451,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00499,REC-0452,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00500,REC-0453,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00501,REC-0453,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00502,REC-0454,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00503,REC-0456,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00504,REC-0457,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00505,REC-0460,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00506,REC-0461,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00507,REC-0462,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00508,REC-0463,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00509,REC-0463,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00510,REC-0464,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00511,REC-0464,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00512,REC-0465,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00513,REC-0466,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00514,REC-0467,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00515,REC-0467,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00516,REC-0468,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00517,REC-0469,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00518,REC-0471,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00519,REC-0472,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00520,REC-0472,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00521,REC-0473,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00522,REC-0475,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00523,REC-0477,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00524,REC-0477,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00525,REC-0478,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00526,REC-0478,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00527,REC-0479,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00528,REC-0480,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00529,REC-0481,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00530,REC-0481,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00531,REC-0482,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00532,REC-0482,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00533,REC-0483,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00534,REC-0483,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00535,REC-0485,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00536,REC-0486,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00537,REC-0486,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00538,REC-0489,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00539,REC-0490,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00540,REC-0491,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00541,REC-0492,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00542,REC-0497,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00543,REC-0499,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00544,REC-0500,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00545,REC-0501,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00546,REC-0501,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
LIM-00547,REC-0502,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00548,REC-0502,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00549,REC-0504,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00550,REC-0504,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00551,REC-0505,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00552,REC-0505,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00553,REC-0506,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00554,REC-0507,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00555,REC-0508,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00556,REC-0508,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00557,REC-0509,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00558,REC-0510,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00559,REC-0513,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00560,REC-0514,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00561,REC-0515,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00562,REC-0515,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00563,REC-0516,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00564,REC-0520,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00565,REC-0520,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00566,REC-0521,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00567,REC-0521,Sparse threat intelligence,Low,IP address reputation has not been categorized by secondary feeds.
LIM-00568,REC-0522,Delayed event ingestion,Medium,SIEM log pipeline experiencing a 15-minute queue latency.
LIM-00569,REC-0522,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00570,REC-0523,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00571,REC-0524,Missing telemetry data,High,Device telemetry unavailable for last 6 hours; security health checks degraded.
LIM-00572,REC-0525,Limited historical examples,Low,Rare incident type; pattern not seen in the last 180 days.
LIM-00573,REC-0526,Incomplete logs,Medium,Active Directory auth logs delayed; cannot cross-verify session continuity.
LIM-00574,REC-0527,Offline endpoints,Medium,Host is currently unreachable over VPN; cannot run live diagnostics.
LIM-00575,REC-0527,Unknown device states,Medium,Device state unclear due to parallel endpoint configuration changes.
LIM-00576,REC-0528,New device models,Low,Model behavior baseline not fully trained; using general device profiles.
